                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                0.96252,                 3.4359,                 0.3252,                0.71832,                 1.1599,                0.90014,                0.78903,                0.88502,                0.63911,                0.67398,                0.46323,                  0.394,                0.21955,                 1.1264,                  4.721,                0.36776,                 0.8941,                 1.3625,               0.001604,               0.001604,               0.001604
                     23,                0.97328,                 3.4699,                0.32617,                0.71796,                 1.1712,                0.89739,                0.78903,                0.88283,                0.63554,                0.71483,                0.48999,                0.46219,                0.25999,                 1.1142,                 4.5908,                0.38603,                0.90863,                 1.3702,              0.0015842,              0.0015842,              0.0015842
                     24,                0.95743,                 3.4668,                0.32506,                0.71224,                 1.1674,                 0.9113,                0.78372,                0.88762,                0.64309,                0.68279,                0.48868,                0.43458,                0.25429,                 1.0984,                 4.5533,                0.36253,                0.88193,                 1.3613,              0.0015644,              0.0015644,              0.0015644
                     25,                 0.9559,                 3.4048,                   0.32,                0.71201,                 1.1655,                0.93403,                0.78665,                 0.8895,                0.64073,                0.69056,                0.50272,                0.43603,                0.22957,                 1.1177,                 4.5091,                0.36811,                0.87616,                 1.3598,              0.0015446,              0.0015446,              0.0015446
                     26,                 0.9406,                 3.3775,                0.32283,                0.69241,                 1.1504,                0.93883,                0.80492,                0.89926,                0.65219,                0.72779,                  0.529,                0.45373,                0.25183,                 1.0703,                 4.2974,                0.36708,                0.81065,                 1.3323,              0.0015248,              0.0015248,              0.0015248
                     27,                0.92509,                 3.3431,                0.32166,                0.67223,                 1.1414,                0.91179,                0.81526,                0.89066,                0.64156,                0.73832,                0.51967,                0.49449,                0.29279,                 1.1087,                  4.344,                0.36353,                0.86208,                 1.3791,               0.001505,               0.001505,               0.001505
                     28,                0.92878,                 3.3544,                0.32107,                0.68558,                 1.1468,                0.91561,                0.79738,                0.88216,                0.64675,                0.68144,                0.46657,                0.40555,                0.24429,                 1.0918,                 4.6495,                0.36792,                0.85689,                 1.3573,              0.0014852,              0.0014852,              0.0014852
                     29,                0.91867,                 3.3043,                0.31936,                0.67779,                 1.1398,                0.90921,                0.80453,                0.89186,                0.64965,                0.70419,                0.52776,                0.47979,                0.27269,                 1.0917,                 4.2637,                0.35901,                0.87055,                 1.3289,              0.0014654,              0.0014654,              0.0014654
                     30,                0.90706,                 3.1979,                0.31347,                0.66421,                 1.1251,                0.93004,                0.79142,                0.89401,                0.64887,                0.67409,                0.48073,                0.41566,                0.25433,                 1.0928,                 4.5837,                0.36566,                0.85685,                 1.3534,              0.0014456,              0.0014456,              0.0014456
                     31,                0.90811,                 3.1968,                0.31345,                0.66486,                 1.1322,                0.90849,                0.80095,                0.89268,                0.66084,                0.75355,                0.57569,                0.52722,                0.29445,                 1.0688,                 4.0128,                0.34912,                0.86186,                  1.314,              0.0014258,              0.0014258,              0.0014258
                     32,                0.91153,                 3.2148,                0.31323,                0.66567,                 1.1364,                0.92133,                0.80453,                0.89749,                 0.6556,                0.72751,                0.51371,                0.47295,                0.27759,                 1.0881,                 4.4302,                0.36273,                0.84779,                 1.3274,               0.001406,               0.001406,               0.001406
                     33,                0.91349,                 3.2172,                0.31778,                0.67726,                 1.1459,                0.93291,                 0.7955,                0.89622,                0.65967,                0.70238,                0.53516,                0.48455,                0.27949,                 1.0661,                 4.3311,                0.34845,                0.82211,                 1.3222,              0.0013862,              0.0013862,              0.0013862
                     34,                 0.9096,                 3.1975,                0.31315,                  0.675,                  1.136,                0.92539,                0.79976,                0.90708,                0.66989,                0.70473,                0.51847,                0.45139,                0.25769,                 1.0298,                 4.3089,                0.34667,                0.80628,                 1.2923,              0.0013664,              0.0013664,              0.0013664
                     35,                0.90294,                 3.1221,                0.31188,                0.64584,                 1.1302,                0.90208,                0.81256,                0.89632,                0.66449,                 0.7114,                 0.5406,                0.45361,                0.24887,                 1.0477,                 4.2592,                0.35156,                0.83319,                 1.3088,              0.0013466,              0.0013466,              0.0013466
                     36,                0.89462,                 3.1234,                0.31057,                0.65107,                 1.1282,                0.92385,                0.80982,                0.89861,                0.66723,                0.74666,                 0.5447,                0.52346,                0.32572,                 1.0532,                 4.1159,                0.35684,                0.80637,                 1.3121,              0.0013268,              0.0013268,              0.0013268
                     37,                0.88313,                 3.0779,                0.30515,                0.64796,                 1.1193,                0.92582,                0.80325,                0.88967,                0.65961,                0.72353,                0.52205,                0.48259,                0.27796,                 1.0708,                 4.3393,                0.35512,                0.81437,                 1.3458,               0.001307,               0.001307,               0.001307
                     38,                0.87836,                 3.0615,                0.30383,                0.64198,                 1.1212,                0.91227,                0.80556,                0.89595,                0.66163,                0.71683,                0.51595,                0.45983,                0.28233,                 1.0678,                 4.4441,                0.36478,                0.80702,                 1.3328,              0.0012872,              0.0012872,              0.0012872
                     39,                0.87413,                 3.0534,                0.30333,                0.63899,                 1.1182,                0.93673,                 0.8093,                0.90533,                0.66707,                0.75862,                0.54946,                0.53843,                0.31585,                 1.0495,                   4.02,                0.35085,                0.78294,                 1.3047,              0.0012674,              0.0012674,              0.0012674
                     40,                0.87086,                 3.0433,                0.30511,                0.63121,                 1.1145,                 0.9292,                0.81348,                0.90572,                0.67143,                0.76022,                0.56683,                0.50816,                0.28641,                 1.0702,                 4.1626,                0.34978,                0.78512,                 1.3224,              0.0012476,              0.0012476,              0.0012476
