                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                0.95441,                 3.3152,                0.22567,                0.70828,                 1.1651,                0.91318,                0.80025,                0.89384,                 0.6368,                0.73203,                0.52404,                0.49493,                0.26424,                 1.1156,                 4.3561,                0.29248,                0.88258,                  1.353,               0.001208,               0.001208,               0.001208
                     23,                0.94963,                 3.2481,                0.22174,                0.71552,                 1.1622,                0.90209,                0.80641,                 0.8977,                0.64315,                0.77839,                0.59768,                0.57099,                0.27967,                 1.0995,                 3.8755,                0.30642,                0.86817,                 1.3461,              0.0011684,              0.0011684,              0.0011684
                     24,                0.95381,                 3.2684,                0.22245,                0.71548,                 1.1681,                0.91942,                0.79162,                 0.9035,                0.64963,                0.77922,                0.55703,                0.52681,                0.27385,                 1.1174,                 4.0688,                0.30512,                0.84945,                 1.3626,              0.0011288,              0.0011288,              0.0011288
                     25,                 0.9377,                 3.1547,                0.21466,                0.69009,                 1.1527,                0.91731,                0.80764,                0.89129,                0.65129,                0.77653,                0.58323,                0.56779,                0.29823,                  1.111,                 3.8374,                  0.289,                 0.8599,                 1.3423,              0.0010892,              0.0010892,              0.0010892
                     26,                0.92901,                 3.1578,                0.21533,                0.68909,                 1.1565,                0.92937,                0.79497,                0.88907,                0.64646,                0.71461,                0.52158,                0.45541,                0.24507,                 1.1046,                 4.2077,                0.28915,                0.86309,                 1.3543,              0.0010496,              0.0010496,              0.0010496
                     27,                0.93071,                 3.1427,                0.21401,                0.68885,                  1.154,                0.92993,                0.80888,                 0.9032,                0.64965,                0.72447,                0.56473,                0.50768,                0.25738,                 1.0998,                 4.0454,                0.28961,                0.84566,                 1.3354,                0.00101,                0.00101,                0.00101
                     28,                0.91632,                 3.1745,                0.21864,                0.69186,                 1.1491,                0.91122,                0.80994,                0.89789,                0.65412,                0.79816,                0.59063,                0.57331,                0.32357,                 1.0882,                 3.8777,                0.29534,                0.85386,                 1.3326,              0.0009704,              0.0009704,              0.0009704
                     29,                0.89672,                 3.1322,                0.21551,                 0.6697,                 1.1356,                0.92019,                0.81628,                0.89913,                0.65981,                0.73253,                0.53391,                0.48232,                0.26311,                 1.0701,                  4.284,                0.30011,                0.82723,                  1.322,              0.0009308,              0.0009308,              0.0009308
                     30,                0.89898,                 3.0425,                0.21186,                0.65897,                 1.1372,                0.91624,                0.83724,                0.91154,                0.65845,                0.73785,                0.55857,                0.51139,                0.28432,                 1.0974,                 4.0094,                0.30166,                0.79319,                 1.3315,              0.0008912,              0.0008912,              0.0008912
                     31,                0.89012,                 3.0274,                0.20855,                0.65266,                 1.1313,                0.90611,                0.82121,                0.90244,                0.66384,                0.71072,                0.54747,                0.48869,                0.26702,                 1.0514,                 4.0709,                0.28915,                0.82223,                 1.3079,              0.0008516,              0.0008516,              0.0008516
                     32,                 0.8781,                  2.908,                0.20037,                0.63908,                 1.1211,                0.91941,                0.81593,                0.90191,                0.66241,                 0.7807,                 0.5857,                0.56382,                0.31011,                 1.0636,                 3.8688,                  0.281,                0.80978,                 1.3178,               0.000812,               0.000812,               0.000812
                     33,                0.87161,                 2.9374,                0.20826,                 0.6474,                 1.1187,                0.88713,                0.83231,                  0.901,                0.65414,                0.75426,                0.60789,                0.54989,                0.30212,                  1.076,                 3.8339,                0.28869,                0.80903,                 1.3198,              0.0007724,              0.0007724,              0.0007724
                     34,                0.86137,                 2.8817,                 0.2037,                0.63109,                 1.1218,                0.91601,                0.82121,                0.90582,                0.65987,                0.74392,                0.57213,                0.52561,                0.28181,                 1.0651,                 3.7844,                 0.2819,                0.79442,                 1.3078,              0.0007328,              0.0007328,              0.0007328
                     35,                0.86313,                  2.893,                   0.21,                0.63743,                 1.1138,                0.93127,                0.81872,                0.91095,                0.66465,                 0.7639,                0.58645,                0.55883,                0.31424,                 1.0615,                 3.8322,                0.28541,                0.78293,                 1.3174,              0.0006932,              0.0006932,              0.0006932
                     36,                0.85849,                 2.8285,                0.20135,                0.62941,                 1.1196,                0.91714,                0.82244,                0.90517,                0.67461,                0.80539,                0.61406,                0.60081,                0.34219,                 1.0342,                 3.6793,                0.27368,                0.76798,                 1.3053,              0.0006536,              0.0006536,              0.0006536
