                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.73146,                 2.2589,                0.28099,                0.51899,                 1.0426,                0.93677,                0.84084,                0.92849,                0.70586,                0.73015,                0.56204,                0.51606,                0.33839,                0.96991,                 3.9554,                 0.3334,                0.68916,                 1.2236,             0.00066402,             0.00066402,             0.00066402
                      2,                0.78244,                 2.4989,                0.28585,                0.57049,                 1.0661,                0.94274,                0.80023,                0.90798,                0.68141,                0.72941,                0.55688,                0.50575,                0.31039,                0.98855,                 4.0598,                0.34238,                0.76584,                 1.2499,              0.0013175,              0.0013175,              0.0013175
                      3,                0.83939,                   2.68,                0.28988,                0.61169,                 1.0902,                0.92403,                0.81451,                0.91227,                0.66411,                0.66625,                0.49262,                0.42719,                0.26513,                 1.0208,                 4.5877,                0.34562,                0.77519,                 1.2715,              0.0019578,              0.0019578,              0.0019578
                      4,                0.85289,                 2.7917,                0.29452,                0.62047,                 1.0972,                0.90429,                0.82577,                0.90025,                0.67407,                0.68039,                0.50511,                0.44626,                0.27887,                 1.0196,                 4.5969,                0.34901,                0.77836,                 1.2689,              0.0019406,              0.0019406,              0.0019406
                      5,                0.86386,                 2.8943,                0.29774,                0.62781,                 1.1046,                0.90431,                0.82179,                0.90264,                0.67491,                 0.7278,                0.53121,                0.49394,                0.30648,                 1.0259,                 4.3675,                0.35728,                0.77831,                 1.2749,              0.0019406,              0.0019406,              0.0019406
                      6,                0.86636,                  2.941,                0.30215,                0.63418,                 1.1076,                0.90876,                0.82528,                 0.8989,                0.66456,                0.67199,                0.50229,                0.42637,                0.25618,                  1.063,                 4.6144,                0.36946,                0.81135,                 1.3176,              0.0019208,              0.0019208,              0.0019208
                      7,                0.86131,                 2.9391,                0.29651,                0.63176,                 1.1055,                0.94014,                0.80136,                0.90459,                0.65736,                0.71566,                  0.521,                 0.4673,                 0.2826,                 1.0821,                 4.4614,                0.35717,                0.78107,                 1.3338,               0.001901,               0.001901,               0.001901
                      8,                0.86292,                 2.8555,                0.29774,                0.63662,                 1.1042,                 0.9506,                0.80023,                 0.9033,                0.66765,                0.75021,                 0.5625,                0.53121,                0.31945,                 1.0522,                 4.0333,                0.34146,                0.81976,                 1.2983,              0.0018812,              0.0018812,              0.0018812
                      9,                0.86008,                 2.8948,                0.30045,                0.63114,                 1.1027,                0.90823,                0.81725,                0.90365,                0.66516,                0.70893,                 0.5403,                 0.4804,                 0.2979,                 1.0331,                 4.2153,                0.34966,                0.79414,                 1.2865,              0.0018614,              0.0018614,              0.0018614
                     10,                0.86483,                 2.8612,                0.29903,                0.63625,                 1.1044,                0.91631,                0.82179,                0.90344,                0.66503,                0.75451,                0.52331,                0.50825,                0.30055,                 1.0645,                 4.2302,                0.35478,                0.79883,                 1.3062,              0.0018416,              0.0018416,              0.0018416
