                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0831,                 5.3971,                0.37832,                  1.403,                  1.331,                0.58696,                0.52695,                0.54962,                0.30048,                0.17285,                0.08782,                0.03268,                0.00488,                 1.5274,                 6.2346,                0.44726,                 11.936,                 1.7381,             0.00066366,             0.00066366,             0.00066366
                      2,                 1.5297,                 6.9289,                0.46878,                 1.7313,                 1.6582,                0.55017,                0.43114,                0.41901,                0.18801,                0.10913,                0.05788,                0.01649,                0.00228,                  2.013,                 6.8874,                0.47073,                 7.2561,                 2.2588,              0.0013172,              0.0013172,              0.0013172
                      3,                 1.6256,                 7.3302,                 0.4841,                 1.8801,                 1.7418,                0.46243,                0.43513,                0.41905,                0.19388,                0.08426,                0.02794,                0.00911,                0.00119,                 1.8193,                 7.0014,                0.49983,                 8.8755,                 2.0088,              0.0019575,              0.0019575,              0.0019575
                      4,                 1.5743,                 7.3005,                 0.4703,                 1.7973,                 1.7033,                0.50593,                0.50299,                0.48918,                0.23782,                0.08222,                0.04391,                 0.0119,                 0.0019,                 1.7073,                 6.6451,                 0.4684,                 2.3676,                 1.8525,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.4964,                 7.1791,                0.45508,                 1.7155,                 1.6428,                 0.5965,                0.51098,                0.50269,                0.24565,                0.13187,                0.07984,                0.02163,                0.00328,                 1.5863,                 6.6779,                0.42967,                 1.8241,                 1.7078,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.4517,                  6.979,                0.45537,                  1.629,                  1.603,                0.63627,                0.47106,                0.53561,                0.27737,                0.10281,                 0.0479,                0.00834,                 0.0012,                 1.5742,                 6.5282,                0.42765,                 3.3935,                 1.7735,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.4081,                  6.868,                0.44626,                  1.566,                 1.5704,                0.66782,                0.57785,                0.61747,                0.35467,                0.13143,                0.08583,                0.02115,                0.00277,                 1.3953,                 6.3171,                0.42342,                 1.5496,                 1.5933,               0.001901,               0.001901,               0.001901
                      8,                 1.3544,                 6.7979,                0.43972,                 1.5367,                 1.5354,                0.70073,                0.58084,                0.65145,                0.36838,                0.29609,                0.12091,                0.05985,                0.00929,                 1.3681,                   6.13,                0.41287,                 1.5653,                 1.5553,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.3513,                 6.6912,                0.43548,                 1.5124,                 1.5297,                0.73953,                0.57239,                0.66245,                0.36842,                0.21391,                0.11577,                0.04143,                 0.0055,                 1.3874,                 6.2313,                0.41798,                 1.5157,                 1.5615,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.3002,                 6.6984,                 0.4354,                 1.4507,                 1.5166,                0.72038,                0.63249,                0.69492,                0.40714,                0.19419,                0.09381,                0.03475,                0.00576,                 1.3471,                 6.1704,                0.38679,                 1.2425,                 1.5351,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.3128,                  6.526,                0.42144,                  1.481,                 1.5125,                0.74493,                0.62374,                0.67476,                0.40426,                0.18681,                0.12774,                0.04366,                0.00663,                 1.2718,                 5.9467,                0.38343,                 1.7222,                 1.4692,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.2563,                 6.4949,                0.42046,                 1.3809,                 1.4842,                 0.7316,                0.61078,                0.66698,                0.39236,                0.25801,                0.13187,                0.06448,                0.00933,                 1.2994,                  6.043,                0.39776,                 1.3665,                 1.4913,               0.001802,               0.001802,               0.001802
                     13,                 1.2724,                 6.4625,                0.41294,                 1.3744,                 1.4745,                 0.7887,                0.61078,                0.69617,                0.41735,                 0.2431,                0.16766,                0.09145,                0.01522,                  1.294,                 5.8432,                0.37377,                 1.5661,                  1.499,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.2399,                 6.4936,                0.42305,                 1.3524,                 1.4559,                0.75358,                0.63473,                0.71516,                0.43431,                 0.2275,                0.11776,                0.04133,                0.00645,                 1.3134,                 5.8821,                0.39059,                  1.341,                 1.4934,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.2033,                 6.3643,                0.40868,                 1.3091,                 1.4333,                0.70104,                 0.6459,                0.71169,                0.41046,                0.34826,                0.17565,                0.08777,                0.01304,                 1.3431,                 5.7968,                 0.3733,                  1.447,                 1.5189,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.2103,                 6.2343,                0.40324,                 1.3101,                 1.4424,                0.75648,                0.63673,                0.72347,                0.44025,                0.30667,                0.16766,                0.07523,                0.01182,                  1.267,                 5.8053,                0.37493,                 1.4292,                 1.4951,              0.0017228,              0.0017228,              0.0017228
                     17,                  1.181,                 6.2812,                0.40953,                 1.2772,                 1.4279,                0.81081,                0.61876,                0.73811,                0.46271,                0.23513,                0.16367,                0.06098,                0.01071,                 1.2301,                 5.8113,                0.36484,                  1.346,                 1.4413,               0.001703,               0.001703,               0.001703
                     18,                 1.1613,                 6.1238,                0.40586,                 1.2489,                 1.4035,                0.82901,                0.63871,                0.74979,                0.47289,                0.24273,                0.17166,                0.06702,                 0.0107,                 1.1685,                 5.7308,                0.37413,                 1.0779,                 1.3584,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.1566,                 6.2246,                0.41062,                 1.2339,                 1.3926,                0.77194,                0.68237,                0.76133,                0.47398,                 0.3211,                0.17365,                0.09111,                0.01521,                 1.2344,                 5.7318,                0.36865,                 1.1063,                 1.4129,              0.0016634,              0.0016634,              0.0016634
                     20,                  1.166,                 6.0819,                0.39166,                 1.2067,                 1.3963,                0.79926,                0.66756,                0.75326,                0.47774,                0.28005,                0.18164,                0.07099,                0.01093,                 1.1947,                  5.689,                0.36563,                 1.2716,                 1.3781,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.1395,                  6.146,                0.40129,                 1.2094,                 1.3806,                0.78898,                0.66467,                0.74973,                 0.4572,                0.32517,                0.17793,                0.08936,                 0.0159,                 1.2643,                 5.6471,                0.37293,                 1.1415,                 1.4334,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.1554,                 6.0912,                0.40401,                 1.2353,                 1.4018,                0.77876,                 0.6815,                0.76142,                0.47668,                 0.2954,                0.18962,                0.08923,                0.01602,                 1.2029,                 5.5969,                0.36246,                 1.1347,                 1.3881,               0.001604,               0.001604,               0.001604
