                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0712,                 4.0452,                0.38198,                 0.7524,                 1.1912,                0.84461,                0.74299,                0.82824,                0.53931,                0.57238,                0.42118,                0.32314,                0.09397,                 1.3834,                 5.1582,                0.43189,                 1.3259,                  1.569,             0.00066365,             0.00066365,             0.00066365
                      2,                 1.2073,                 4.5498,                0.39455,                0.94332,                 1.2824,                0.82499,                0.66502,                0.77759,                0.46948,                0.53817,                0.34975,                0.26901,                0.11217,                 1.6113,                 5.9073,                0.47556,                 1.2908,                 1.7811,              0.0013171,              0.0013171,              0.0013171
                      3,                 1.2375,                 4.6688,                0.39939,                0.99293,                  1.307,                0.76084,                0.64409,                0.74756,                  0.465,                0.69824,                0.35837,                0.33881,                0.13013,                 1.5904,                  5.754,                0.44041,                 1.4542,                 1.7927,              0.0019574,              0.0019574,              0.0019574
                      4,                 1.2421,                 4.6446,                0.39624,                 1.0002,                 1.3124,                0.82339,                0.73153,                0.80088,                0.51321,                0.63759,                0.40764,                0.32209,                0.13536,                 1.4126,                 5.4356,                0.46341,                 1.3588,                 1.6064,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.2075,                 4.3808,                0.39063,                0.96445,                 1.2983,                0.84957,                0.69554,                0.79731,                 0.5171,                0.59976,                 0.3857,                 0.3095,                0.13562,                 1.4638,                 5.2709,                0.44415,                 1.2691,                 1.6661,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.1715,                 4.2882,                0.38133,                0.92889,                 1.2802,                0.89559,                0.71552,                 0.8238,                0.52457,                 0.7238,                0.45936,                0.40779,                0.18115,                 1.3871,                 5.0648,                0.41285,                  1.213,                   1.59,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.1478,                 4.0813,                0.37353,                0.88977,                 1.2611,                 0.8929,                0.72898,                0.83545,                0.55665,                0.64733,                0.39332,                0.33894,                0.18394,                 1.3343,                 5.3482,                0.40933,                 1.2335,                 1.5742,               0.001901,               0.001901,               0.001901
                      8,                 1.1313,                 4.1043,                0.37445,                0.88119,                 1.2635,                0.88197,                0.70857,                0.82115,                0.54549,                0.75669,                0.44428,                0.44017,                0.21576,                 1.3941,                 5.1521,                0.41576,                 1.2054,                 1.5813,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.1033,                 3.9905,                0.36231,                0.85018,                 1.2434,                0.84508,                0.66749,                0.76645,                0.48345,                0.68278,                0.43596,                0.39288,                0.20477,                  1.492,                  5.121,                0.45571,                  1.439,                 1.6958,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.0974,                 3.9686,                 0.3612,                0.84578,                 1.2394,                0.87167,                0.77463,                0.84533,                0.56247,                0.71948,                0.46059,                0.42432,                0.21475,                 1.3302,                 4.8185,                0.40397,                 1.1041,                 1.5046,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.0679,                 3.7792,                0.35603,                0.81685,                 1.2136,                0.91272,                0.74261,                0.84697,                0.58688,                0.70909,                0.44728,                0.40775,                 0.2364,                 1.2671,                  4.911,                0.40617,                 1.0856,                 1.4573,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.0652,                  3.828,                0.35409,                0.82042,                 1.2169,                0.88396,                0.75616,                0.84751,                0.59218,                0.74468,                0.46798,                0.45359,                0.25765,                 1.2462,                 4.6927,                 0.3943,                 1.0435,                 1.4609,               0.001802,               0.001802,               0.001802
                     13,                 1.0508,                 3.7671,                0.35061,                0.79007,                 1.2091,                0.89132,                0.76847,                0.85934,                0.59924,                0.77791,                0.45936,                 0.4523,                0.25049,                 1.2248,                 4.8104,                0.38913,                 1.0212,                 1.4512,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.0444,                 3.7415,                0.34636,                0.79498,                 1.2036,                0.89391,                0.74712,                0.84533,                0.58222,                 0.7371,                0.46798,                0.45214,                0.24947,                 1.2679,                 4.7649,                 0.3922,                 1.0802,                 1.4878,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.0253,                 3.6933,                 0.3447,                0.78484,                 1.2028,                0.90523,                0.76478,                0.86753,                0.60634,                0.71904,                0.45567,                0.44127,                0.24781,                 1.1973,                 4.7875,                0.38622,                0.98946,                 1.4536,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.0147,                 3.6492,                0.34318,                0.77869,                 1.1868,                0.90889,                0.75493,                0.86425,                0.60276,                0.67615,                0.43842,                0.37776,                0.20808,                 1.1792,                 4.8327,                0.38192,                0.97901,                 1.4413,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.0011,                 3.5463,                0.33685,                 0.7446,                  1.186,                0.87344,                0.79187,                0.87018,                0.60934,                0.73908,                0.49015,                0.47451,                 0.2702,                  1.193,                 4.5435,                0.37203,                0.94532,                 1.4222,               0.001703,               0.001703,               0.001703
                     18,                0.99963,                 3.5181,                0.34011,                0.74752,                 1.1775,                0.91475,                0.76647,                0.86248,                0.60358,                 0.7701,                0.49384,                0.48265,                0.27279,                 1.1983,                 4.5062,                0.37462,                 1.0201,                 1.4285,              0.0016832,              0.0016832,              0.0016832
                     19,                0.98742,                 3.5254,                0.33497,                 0.7503,                 1.1735,                0.89967,                0.78818,                0.88461,                0.62479,                0.75326,                 0.5038,                0.47707,                0.25711,                  1.149,                 4.5313,                0.38396,                0.91643,                   1.38,              0.0016634,              0.0016634,              0.0016634
                     20,                 0.9787,                 3.4583,                0.32916,                0.73193,                   1.17,                0.91574,                0.76294,                0.87709,                0.62364,                0.69034,                0.46948,                0.41996,                0.25129,                 1.1735,                 4.6234,                0.36647,                0.97249,                 1.4089,              0.0016436,              0.0016436,              0.0016436
                     21,                0.97762,                 3.4159,                0.32699,                0.72257,                 1.1631,                 0.9032,                0.78571,                0.88187,                 0.6383,                0.69836,                0.50246,                0.44709,                0.25321,                 1.1085,                 4.4762,                0.37134,                0.91704,                 1.3529,              0.0016238,              0.0016238,              0.0016238
                     22,                0.96311,                 3.4079,                0.32921,                0.71356,                 1.1593,                0.90416,                0.77844,                0.87518,                0.61717,                0.67657,                0.46921,                0.41801,                0.23686,                 1.1643,                 4.7726,                 0.3637,                0.93597,                 1.3818,               0.001604,               0.001604,               0.001604
                     23,                0.96909,                 3.4132,                0.32794,                0.72992,                 1.1609,                0.89066,                0.78245,                0.87712,                0.62337,                0.75176,                0.53079,                0.51664,                0.28074,                 1.1537,                 4.2291,                 0.3579,                0.92862,                 1.3828,              0.0015842,              0.0015842,              0.0015842
                     24,                0.97273,                 3.3559,                0.32649,                0.72579,                 1.1687,                 0.9098,                0.79497,                0.89393,                  0.639,                0.73041,                0.51724,                0.48169,                  0.286,                 1.1196,                 4.3383,                0.35607,                0.89739,                 1.3689,              0.0015644,              0.0015644,              0.0015644
                     25,                0.95009,                 3.2952,                0.31924,                0.69857,                 1.1463,                0.88909,                0.80956,                0.88582,                0.63979,                0.76191,                0.52809,                0.50871,                0.28847,                 1.1349,                 4.2834,                0.35731,                0.90815,                 1.3623,              0.0015446,              0.0015446,              0.0015446
                     26,                0.93514,                 3.2705,                0.31702,                0.70089,                 1.1475,                 0.9207,                0.79187,                0.89076,                0.64275,                0.68788,                0.46059,                 0.4109,                0.25831,                  1.127,                 4.6622,                0.36797,                0.88297,                 1.3657,              0.0015248,              0.0015248,              0.0015248
                     27,                0.93657,                 3.2937,                0.31652,                0.70243,                 1.1492,                0.90332,                0.80547,                 0.8932,                0.64828,                0.65136,                0.44176,                0.39859,                0.25563,                 1.1138,                 4.7809,                0.37136,                0.87422,                 1.3453,               0.001505,               0.001505,               0.001505
                     28,                0.94079,                  3.371,                0.32083,                0.71175,                 1.1542,                0.89206,                0.80405,                0.88509,                0.64799,                0.71147,                0.50713,                0.46945,                0.27042,                 1.0913,                 4.4101,                0.36716,                0.88261,                 1.3318,              0.0014852,              0.0014852,              0.0014852
                     29,                0.92212,                  3.266,                0.31773,                0.69111,                 1.1426,                0.90355,                0.79926,                0.88715,                0.64903,                0.70362,                0.49384,                0.43623,                0.25064,                 1.0909,                 4.4512,                0.35636,                0.88753,                 1.3241,              0.0014654,              0.0014654,              0.0014654
                     30,                 0.9249,                   3.22,                0.31331,                 0.6816,                 1.1397,                0.88096,                0.82024,                0.88558,                0.64995,                0.70599,                0.48768,                0.44319,                0.26325,                 1.0764,                 4.4436,                0.36773,                0.87407,                 1.3466,              0.0014456,              0.0014456,              0.0014456
                     31,                0.91337,                 3.2073,                0.31163,                0.67689,                 1.1319,                0.91574,                0.79926,                0.90671,                0.65807,                0.74915,                0.51355,                0.49466,                0.28661,                  1.085,                 4.3223,                0.35614,                0.83777,                 1.3311,              0.0014258,              0.0014258,              0.0014258
                     32,                0.91909,                 3.0758,                0.30449,                0.66402,                 1.1341,                0.93166,                0.77235,                0.88722,                0.65726,                0.75354,                0.53202,                 0.4991,                0.29107,                 1.0483,                 4.2504,                0.34813,                0.84566,                  1.301,               0.001406,               0.001406,               0.001406
                     33,                0.89413,                 3.1329,                0.31042,                0.66457,                 1.1208,                 0.9263,                0.78945,                0.89906,                0.65204,                0.67143,                0.47044,                0.41985,                0.26446,                 1.0984,                  4.659,                0.36151,                0.85677,                 1.3465,              0.0013862,              0.0013862,              0.0013862
                     34,                0.89191,                 3.1067,                0.30508,                0.65673,                 1.1256,                0.91497,                0.82157,                0.90094,                0.65986,                0.71831,                0.50369,                0.47291,                0.28502,                  1.088,                 4.3785,                 0.3577,                0.84055,                 1.3337,              0.0013664,              0.0013664,              0.0013664
                     35,                0.89839,                 3.0889,                0.30949,                0.65893,                 1.1262,                0.89974,                0.81788,                 0.8987,                0.66093,                0.69545,                0.50739,                0.45854,                0.27895,                  1.087,                 4.4094,                0.36261,                0.82595,                 1.3269,              0.0013466,              0.0013466,              0.0013466
                     36,                 0.8905,                 3.0597,                0.30154,                0.65481,                 1.1232,                 0.9172,                0.80296,                0.89791,                0.66479,                0.69453,                0.53695,                0.45618,                0.25955,                 1.0273,                 4.2703,                0.34299,                0.81674,                 1.3065,              0.0013268,              0.0013268,              0.0013268
                     37,                0.88439,                 3.0196,                0.30367,                 0.6463,                 1.1181,                0.91139,                0.81069,                0.90182,                0.65512,                0.75148,                 0.5665,                0.52613,                0.30901,                 1.0522,                 4.0359,                0.33923,                0.82043,                 1.3139,               0.001307,               0.001307,               0.001307
                     38,                0.89127,                 3.0239,                0.30485,                0.65507,                 1.1259,                0.91526,                0.79814,                 0.8987,                0.66481,                0.65442,                0.46429,                0.40809,                0.26855,                 1.0621,                 4.6679,                 0.3496,                0.80737,                 1.3183,              0.0012872,              0.0012872,              0.0012872
                     39,                0.87807,                 2.9955,                0.30234,                0.64238,                 1.1159,                 0.9283,                0.79723,                0.89855,                0.66523,                0.67144,                0.47291,                0.40814,                0.25991,                 1.0627,                  4.641,                0.35662,                0.81198,                 1.3193,              0.0012674,              0.0012674,              0.0012674
                     40,                0.86782,                  2.993,                0.29996,                0.64805,                 1.1198,                0.93643,                0.79803,                0.90691,                0.67221,                0.68572,                 0.5431,                0.49068,                0.29251,                 1.0288,                 4.2281,                0.35182,                0.78346,                 1.2995,              0.0012476,              0.0012476,              0.0012476
                     41,                0.87132,                 3.0305,                0.29897,                0.64383,                 1.1147,                0.92167,                0.79557,                0.90275,                0.66958,                0.78825,                0.55911,                0.54734,                0.32641,                 1.0536,                 4.0163,                0.34613,                0.79902,                  1.311,              0.0012278,              0.0012278,              0.0012278
                     42,                 0.8636,                 2.9315,                0.29897,                0.63038,                 1.1063,                0.92862,                0.81773,                0.90944,                0.67245,                0.74692,                0.52956,                0.51103,                 0.3012,                 1.0345,                 4.2242,                 0.3425,                0.77925,                 1.2897,               0.001208,               0.001208,               0.001208
