                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0851,                 5.3772,                0.39045,                 0.7717,                 1.2011,                0.83733,                0.69577,                0.78619,                0.50998,                0.53805,                 0.3929,                0.29463,                0.10201,                 1.4141,                  6.512,                0.43876,                 1.4861,                 1.6133,             0.00066397,             0.00066397,             0.00066397
                      2,                 1.2354,                 5.9793,                0.40097,                0.95807,                 1.3024,                0.76553,                0.59908,                 0.6501,                0.37888,                0.46128,                0.33446,                 0.2125,                0.08652,                 1.6607,                 7.5811,                0.58297,                 1.8513,                 1.9108,              0.0013175,              0.0013175,              0.0013175
                      3,                 1.2691,                 6.0522,                0.39949,                 1.0169,                 1.3298,                0.83199,                0.65063,                0.74259,                0.43784,                0.45686,                0.33562,                0.22378,                0.08872,                 1.6413,                 7.3088,                0.44571,                 1.8953,                 1.8233,              0.0019578,              0.0019578,              0.0019578
                      4,                 1.2572,                 5.9817,                0.40171,                 1.0055,                 1.3247,                0.83232,                0.69759,                0.79146,                0.49377,                0.69962,                0.40018,                0.36807,                0.16508,                 1.5713,                 6.9479,                0.47858,                 1.3357,                 1.7389,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.2182,                 5.7435,                0.39158,                0.96529,                    1.3,                0.81843,                0.74685,                 0.8157,                0.52961,                0.71733,                0.42149,                 0.3833,                0.16713,                 1.3756,                 6.8073,                0.42615,                 1.2551,                 1.5702,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.1729,                 5.5118,                 0.3897,                0.91324,                 1.2758,                0.88137,                0.70633,                0.82059,                0.54082,                0.68406,                0.43528,                0.38745,                0.18418,                 1.4024,                 6.4199,                0.45033,                 1.2133,                 1.6228,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.1652,                 5.4467,                 0.3846,                0.91565,                 1.2718,                0.87767,                0.71502,                0.82479,                0.54579,                0.64903,                0.45475,                0.39878,                0.20314,                 1.3362,                    6.3,                0.41734,                 1.1887,                 1.5454,               0.001901,               0.001901,               0.001901
                      8,                 1.1316,                 5.3024,                0.37559,                0.88824,                 1.2603,                0.85082,                0.73196,                0.82448,                0.54509,                0.65511,                0.40321,                0.35302,                0.18747,                 1.3686,                 6.6426,                0.41786,                 1.2461,                 1.5678,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.1063,                 5.1081,                0.36728,                0.85894,                  1.236,                0.88671,                0.73516,                0.84416,                0.56827,                0.74445,                0.47995,                0.46206,                0.24439,                 1.3195,                 6.0427,                0.41151,                 1.1147,                 1.5041,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.0958,                 5.1197,                0.36955,                0.83026,                 1.2294,                0.88271,                0.75861,                0.84842,                0.57418,                0.74104,                0.48339,                0.43735,                0.21809,                 1.3114,                 6.0319,                0.39839,                  1.095,                 1.5096,              0.0018416,              0.0018416,              0.0018416
