                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1275,                 4.1387,                0.26542,                 0.8029,                 1.2445,                0.88998,                0.69737,                0.81235,                0.52724,                0.62052,                0.44212,                0.38325,                0.13916,                  1.432,                 4.8845,                0.35899,                 1.2541,                 1.6568,             0.00066366,             0.00066366,             0.00066366
                      2,                 1.2663,                 4.5755,                0.27668,                 0.9731,                 1.3286,                0.83031,                0.65887,                0.78215,                0.47799,                0.64712,                0.39778,                0.37112,                0.16751,                 1.5997,                 5.3677,                0.39152,                 1.4414,                 1.8015,              0.0013128,              0.0013128,              0.0013128
                      3,                 1.2828,                 4.6775,                0.28382,                 1.0187,                 1.3535,                0.80216,                0.65913,                0.74092,                 0.4456,                0.63444,                0.39901,                0.34379,                0.15534,                 1.6465,                 5.5316,                0.42258,                 1.4541,                 1.7968,              0.0019443,              0.0019443,              0.0019443
                      4,                 1.2645,                 4.5733,                 0.2802,                0.99476,                 1.3406,                0.86377,                0.63916,                0.77609,                0.47624,                0.64722,                0.35714,                0.32129,                0.16744,                 1.5742,                 5.6962,                0.36976,                 1.6398,                 1.7675,              0.0019208,              0.0019208,              0.0019208
                      5,                 1.2344,                 4.5134,                0.27311,                0.99338,                 1.3303,                0.83661,                0.66209,                0.78195,                0.48703,                 0.7252,                0.42611,                 0.4179,                0.18209,                 1.4959,                 5.0468,                0.35808,                 1.3561,                 1.6845,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.1987,                  4.225,                0.27148,                0.93915,                 1.3078,                0.81622,                0.69458,                0.78169,                0.50516,                0.65201,                0.40764,                 0.3824,                0.20879,                 1.4769,                 5.1687,                0.38466,                  1.352,                 1.7114,              0.0018944,              0.0018944,              0.0018944
                      7,                 1.1737,                 4.0899,                0.25942,                0.92071,                 1.3031,                0.86193,                 0.7069,                0.82109,                0.53917,                0.67342,                0.44335,                0.36776,                0.17515,                  1.341,                 5.0134,                0.34414,                 1.2646,                 1.5593,               0.001868,               0.001868,               0.001868
                      8,                 1.1456,                 4.0423,                0.25548,                 0.8876,                 1.2747,                0.84709,                0.73399,                0.83287,                0.54908,                0.70596,                    0.5,                0.46602,                0.23532,                 1.3529,                  4.736,                0.34038,                 1.1766,                 1.5566,              0.0018416,              0.0018416,              0.0018416
                      9,                  1.128,                  4.022,                0.25536,                0.88289,                 1.2623,                0.89632,                0.73463,                0.82933,                0.55303,                0.67209,                0.43473,                0.40356,                0.20791,                 1.3804,                 4.8982,                0.33827,                 1.1805,                 1.5741,              0.0018152,              0.0018152,              0.0018152
                     10,                 1.1119,                 4.0082,                0.25662,                0.86291,                 1.2598,                0.86265,                0.76724,                0.83918,                 0.5479,                0.61302,                0.41502,                0.30158,                0.15776,                 1.3283,                 5.1788,                0.34234,                 1.1087,                 1.5302,              0.0017888,              0.0017888,              0.0017888
